# {
#     "poni_version": 2.1,
#     "detector": "Dexela2923",
#     "detector_config": {
#         "pixel1": 7.5e-05,
#         "pixel2": 7.5e-05,
#         "orientation": 3
#     },
#     "dist": 0.7729163652097074,
#     "poni1": 0.15023228379054998,
#     "poni2": 0.13162955346626973,
#     "rot1": -0.03463361979894058,
#     "rot2": -0.0014763885094713292,
#     "rot3": -7.645244767931508e-10,
#     "wavelength": 1.82e-11
# }
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> integrated_LaB6.dat
#       2th_deg             I 
  6.447452e+00    7.440721e+00
  6.462861e+00    7.432526e+00
  6.478269e+00    7.420250e+00
  6.493677e+00    7.417739e+00
  6.509086e+00    7.426219e+00
  6.524494e+00    7.409358e+00
  6.539903e+00    7.395835e+00
  6.555311e+00    7.378851e+00
  6.570719e+00    7.373628e+00
  6.586128e+00    7.369499e+00
  6.601536e+00    7.368698e+00
  6.616944e+00    7.356641e+00
  6.632353e+00    7.359085e+00
  6.647761e+00    7.353078e+00
  6.663169e+00    7.326808e+00
  6.678578e+00    7.324196e+00
  6.693986e+00    7.315473e+00
  6.709394e+00    7.315403e+00
  6.724803e+00    7.318513e+00
  6.740211e+00    7.283692e+00
  6.755620e+00    7.279138e+00
  6.771028e+00    7.279708e+00
  6.786436e+00    7.296335e+00
  6.801845e+00    7.297067e+00
  6.817253e+00    7.285267e+00
  6.832661e+00    7.292170e+00
  6.848070e+00    7.297217e+00
  6.863478e+00    7.296062e+00
  6.878886e+00    7.295934e+00
  6.894295e+00    7.304387e+00
  6.909703e+00    7.321446e+00
  6.925112e+00    7.307197e+00
  6.940520e+00    7.306083e+00
  6.955928e+00    7.311360e+00
  6.971337e+00    7.321118e+00
  6.986745e+00    7.324171e+00
  7.002153e+00    7.356988e+00
  7.017562e+00    7.395960e+00
  7.032970e+00    7.511647e+00
  7.048378e+00    7.848096e+00
  7.063787e+00    9.687791e+00
  7.079195e+00    2.050971e+01
  7.094603e+00    3.646632e+01
  7.110012e+00    3.218063e+01
  7.125420e+00    1.506947e+01
  7.140829e+00    8.606119e+00
  7.156237e+00    7.677523e+00
  7.171645e+00    7.465271e+00
  7.187054e+00    7.388124e+00
  7.202462e+00    7.357846e+00
  7.217870e+00    7.344185e+00
  7.233279e+00    7.337650e+00
  7.248687e+00    7.335683e+00
  7.264095e+00    7.328596e+00
  7.279504e+00    7.328325e+00
  7.294912e+00    7.336278e+00
  7.310321e+00    7.340357e+00
  7.325729e+00    7.337333e+00
  7.341137e+00    7.342960e+00
  7.356546e+00    7.366249e+00
  7.371954e+00    7.377542e+00
  7.387362e+00    7.401204e+00
  7.402771e+00    7.422394e+00
  7.418179e+00    7.468727e+00
  7.433587e+00    7.549446e+00
  7.448996e+00    7.686367e+00
  7.464404e+00    8.028398e+00
  7.479812e+00    9.094041e+00
  7.495221e+00    1.519074e+01
  7.510629e+00    4.896917e+01
  7.526038e+00    9.482374e+01
  7.541446e+00    8.121361e+01
  7.556854e+00    3.063230e+01
  7.572263e+00    1.130023e+01
  7.587671e+00    8.465717e+00
  7.603079e+00    7.826148e+00
  7.618488e+00    7.620852e+00
  7.633896e+00    7.527241e+00
  7.649304e+00    7.467559e+00
  7.664713e+00    7.441163e+00
  7.680121e+00    7.421607e+00
  7.695530e+00    7.409633e+00
  7.710938e+00    7.392631e+00
  7.726346e+00    7.381232e+00
  7.741755e+00    7.366107e+00
  7.757163e+00    7.372649e+00
  7.772571e+00    7.379201e+00
  7.787980e+00    7.392671e+00
  7.803388e+00    7.416515e+00
  7.818796e+00    7.446984e+00
  7.834205e+00    7.464436e+00
  7.849613e+00    7.534576e+00
  7.865021e+00    7.685189e+00
  7.880430e+00    8.106743e+00
  7.895838e+00    9.900100e+00
  7.911247e+00    2.212954e+01
  7.926655e+00    5.623074e+01
  7.942063e+00    6.994911e+01
  7.957472e+00    4.117508e+01
  7.972880e+00    1.453654e+01
  7.988288e+00    8.778128e+00
  8.003697e+00    7.843321e+00
  8.019105e+00    7.577365e+00
  8.034513e+00    7.479141e+00
  8.049922e+00    7.432927e+00
  8.065330e+00    7.390401e+00
  8.080739e+00    7.364350e+00
  8.096147e+00    7.350954e+00
  8.111555e+00    7.347061e+00
  8.126964e+00    7.336508e+00
  8.142372e+00    7.325083e+00
  8.157780e+00    7.279183e+00
  8.173189e+00    7.292737e+00
  8.188597e+00    7.306901e+00
  8.204005e+00    7.330862e+00
  8.219414e+00    7.359266e+00
  8.234822e+00    7.393930e+00
  8.250230e+00    7.464617e+00
  8.265639e+00    7.684453e+00
  8.281047e+00    8.540047e+00
  8.296456e+00    1.431555e+01
  8.311864e+00    3.358927e+01
  8.327272e+00    4.723032e+01
  8.342681e+00    3.366036e+01
  8.358089e+00    1.365154e+01
  8.373497e+00    8.441400e+00
  8.388906e+00    7.638397e+00
  8.404314e+00    7.424980e+00
  8.419722e+00    7.357545e+00
  8.435131e+00    7.322433e+00
  8.450539e+00    7.303789e+00
  8.465948e+00    7.272256e+00
  8.481356e+00    7.259627e+00
  8.496764e+00    7.248767e+00
  8.512173e+00    7.251286e+00
  8.527581e+00    7.235838e+00
  8.542989e+00    7.233603e+00
  8.558398e+00    7.227359e+00
  8.573806e+00    7.215709e+00
  8.589214e+00    7.219621e+00
  8.604623e+00    7.225784e+00
  8.620031e+00    7.239170e+00
  8.635439e+00    7.265167e+00
  8.650848e+00    7.389921e+00
  8.666256e+00    8.192614e+00
  8.681665e+00    1.118685e+01
  8.697073e+00    1.388633e+01
  8.712481e+00    1.182628e+01
  8.727890e+00    8.491564e+00
  8.743298e+00    7.421248e+00
  8.758706e+00    7.260220e+00
  8.774115e+00    7.228429e+00
  8.789523e+00    7.200234e+00
  8.804931e+00    7.195370e+00
  8.820340e+00    7.200191e+00
  8.835748e+00    7.185021e+00
  8.851157e+00    7.181957e+00
  8.866565e+00    7.191854e+00
  8.881973e+00    7.197792e+00
  8.897382e+00    7.198391e+00
  8.912790e+00    7.209960e+00
  8.928198e+00    7.215105e+00
  8.943607e+00    7.215770e+00
  8.959015e+00    7.237726e+00
  8.974423e+00    7.281994e+00
  8.989832e+00    7.388232e+00
  9.005240e+00    7.793328e+00
  9.020648e+00    1.036631e+01
  9.036057e+00    2.148465e+01
  9.051465e+00    3.231209e+01
  9.066874e+00    2.635944e+01
  9.082282e+00    1.302783e+01
  9.097690e+00    8.190189e+00
  9.113099e+00    7.469539e+00
  9.128507e+00    7.296240e+00
  9.143915e+00    7.234143e+00
  9.159324e+00    7.208501e+00
  9.174732e+00    7.207604e+00
  9.190140e+00    7.196073e+00
  9.205549e+00    7.189990e+00
  9.220957e+00    7.194149e+00
  9.236366e+00    7.189058e+00
  9.251774e+00    7.209727e+00
  9.267182e+00    7.211447e+00
  9.282591e+00    7.229606e+00
  9.297999e+00    7.274542e+00
  9.313407e+00    7.344674e+00
  9.328816e+00    7.519699e+00
  9.344224e+00    8.101961e+00
  9.359632e+00    1.150334e+01
  9.375041e+00    2.912119e+01
  9.390449e+00    5.450676e+01
  9.405857e+00    5.119915e+01
  9.421266e+00    2.423187e+01
  9.436674e+00    1.019176e+01
  9.452083e+00    7.870945e+00
  9.467491e+00    7.412793e+00
  9.482899e+00    7.262122e+00
  9.498308e+00    7.197704e+00
  9.513716e+00    7.155555e+00
  9.529124e+00    7.130361e+00
  9.544533e+00    7.109718e+00
  9.559941e+00    7.061015e+00
  9.575349e+00    7.058908e+00
  9.590758e+00    7.053521e+00
  9.606166e+00    7.052835e+00
  9.621575e+00    7.046083e+00
  9.636983e+00    7.040192e+00
  9.652391e+00    7.027700e+00
  9.667800e+00    7.027750e+00
  9.683208e+00    7.021287e+00
  9.698616e+00    7.016217e+00
  9.714025e+00    7.015576e+00
  9.729433e+00    7.012943e+00
  9.744841e+00    7.010230e+00
  9.760250e+00    7.004450e+00
  9.775658e+00    6.993973e+00
  9.791067e+00    6.997680e+00
  9.806475e+00    6.993514e+00
  9.821883e+00    6.993922e+00
  9.837292e+00    6.986408e+00
  9.852700e+00    6.988763e+00
  9.868108e+00    6.984366e+00
  9.883517e+00    6.983376e+00
  9.898925e+00    6.980263e+00
  9.914333e+00    6.985070e+00
  9.929742e+00    6.992358e+00
  9.945150e+00    6.990043e+00
  9.960558e+00    7.002234e+00
  9.975967e+00    7.029695e+00
  9.991375e+00    7.118935e+00
  1.000678e+01    7.560691e+00
  1.002219e+01    1.012169e+01
  1.003760e+01    1.450571e+01
  1.005301e+01    1.482129e+01
  1.006842e+01    1.064604e+01
  1.008383e+01    7.758546e+00
  1.009923e+01    7.153555e+00
  1.011464e+01    7.050619e+00
  1.013005e+01    7.023459e+00
  1.014546e+01    7.023649e+00
  1.016087e+01    7.015486e+00
  1.017628e+01    7.019839e+00
  1.019168e+01    7.024055e+00
  1.020709e+01    7.027323e+00
  1.022250e+01    7.035985e+00
  1.023791e+01    7.055799e+00
  1.025332e+01    7.079175e+00
  1.026873e+01    7.120510e+00
  1.028413e+01    7.207040e+00
  1.029954e+01    7.495702e+00
  1.031495e+01    8.897603e+00
  1.033036e+01    1.741630e+01
  1.034577e+01    3.634322e+01
  1.036118e+01    4.367450e+01
  1.037658e+01    2.742799e+01
  1.039199e+01    1.188498e+01
  1.040740e+01    7.926957e+00
  1.042281e+01    7.300058e+00
  1.043822e+01    7.128765e+00
  1.045363e+01    7.065183e+00
  1.046903e+01    7.039690e+00
  1.048444e+01    7.032880e+00
  1.049985e+01    7.016867e+00
  1.051526e+01    7.016788e+00
  1.053067e+01    7.018852e+00
  1.054608e+01    7.038198e+00
  1.056148e+01    7.054012e+00
  1.057689e+01    7.097950e+00
  1.059230e+01    7.226999e+00
  1.060771e+01    7.676960e+00
  1.062312e+01    1.055139e+01
  1.063853e+01    2.228891e+01
  1.065393e+01    3.592064e+01
  1.066934e+01    3.181966e+01
  1.068475e+01    1.641768e+01
  1.070016e+01    8.691708e+00
  1.071557e+01    7.373624e+00
  1.073098e+01    7.109128e+00
  1.074638e+01    7.023769e+00
  1.076179e+01    6.990163e+00
  1.077720e+01    6.978376e+00
  1.079261e+01    6.962799e+00
  1.080802e+01    6.944325e+00
  1.082343e+01    6.937337e+00
  1.083883e+01    6.938889e+00
  1.085424e+01    6.937989e+00
  1.086965e+01    6.952418e+00
  1.088506e+01    6.999972e+00
  1.090047e+01    7.177250e+00
  1.091588e+01    8.330473e+00
  1.093129e+01    1.281781e+01
  1.094669e+01    1.829448e+01
  1.096210e+01    1.661974e+01
  1.097751e+01    1.070249e+01
  1.099292e+01    7.577822e+00
  1.100833e+01    7.034302e+00
  1.102374e+01    6.934109e+00
  1.103914e+01    6.912881e+00
  1.105455e+01    6.888615e+00
  1.106996e+01    6.893513e+00
  1.108537e+01    6.882418e+00
  1.110078e+01    6.877833e+00
  1.111619e+01    6.887784e+00
  1.113159e+01    6.893346e+00
  1.114700e+01    6.907215e+00
  1.116241e+01    6.940325e+00
  1.117782e+01    7.053236e+00
  1.119323e+01    7.617189e+00
  1.120864e+01    1.079571e+01
  1.122404e+01    1.832582e+01
  1.123945e+01    2.226172e+01
  1.125486e+01    1.660152e+01
  1.127027e+01    9.612896e+00
  1.128568e+01    7.340807e+00
  1.130109e+01    6.989487e+00
  1.131649e+01    6.908772e+00
  1.133190e+01    6.891101e+00
  1.134731e+01    6.891959e+00
  1.136272e+01    6.881916e+00
  1.137813e+01    6.885541e+00
  1.139354e+01    6.897781e+00
  1.140894e+01    6.918220e+00
  1.142435e+01    6.941263e+00
  1.143976e+01    6.992763e+00
  1.145517e+01    7.184226e+00
  1.147058e+01    8.073420e+00
  1.148599e+01    1.338989e+01
  1.150139e+01    2.767559e+01
  1.151680e+01    3.646573e+01
  1.153221e+01    2.677012e+01
  1.154762e+01    1.295728e+01
  1.156303e+01    7.939260e+00
  1.157844e+01    7.139690e+00
  1.159384e+01    6.954659e+00
  1.160925e+01    6.898914e+00
  1.162466e+01    6.862438e+00
  1.164007e+01    6.848205e+00
  1.165548e+01    6.829287e+00
  1.167089e+01    6.830576e+00
  1.168629e+01    6.824918e+00
  1.170170e+01    6.821343e+00
  1.171711e+01    6.853158e+00
  1.173252e+01    6.992148e+00
  1.174793e+01    7.803624e+00
  1.176334e+01    1.168900e+01
  1.177874e+01    1.868457e+01
  1.179415e+01    1.959981e+01
  1.180956e+01    1.343901e+01
  1.182497e+01    8.404449e+00
  1.184038e+01    7.030674e+00
  1.185579e+01    6.819549e+00
  1.187120e+01    6.749806e+00
  1.188660e+01    6.726707e+00
  1.190201e+01    6.722528e+00
  1.191742e+01    6.718237e+00
  1.193283e+01    6.706286e+00
  1.194824e+01    6.685161e+00
  1.196365e+01    6.685352e+00
  1.197905e+01    6.673489e+00
  1.199446e+01    6.662302e+00
  1.200987e+01    6.655764e+00
  1.202528e+01    6.668481e+00
  1.204069e+01    6.653125e+00
  1.205610e+01    6.658103e+00
  1.207150e+01    6.652402e+00
  1.208691e+01    6.649444e+00
  1.210232e+01    6.653431e+00
  1.211773e+01    6.648768e+00
  1.213314e+01    6.649842e+00
  1.214855e+01    6.652944e+00
  1.216395e+01    6.643507e+00
  1.217936e+01    6.658747e+00
  1.219477e+01    6.656043e+00
  1.221018e+01    6.667787e+00
  1.222559e+01    6.686001e+00
  1.224100e+01    6.699986e+00
  1.225640e+01    6.758348e+00
