# {
#     "poni_version": 2.1,
#     "detector": "Dexela2923",
#     "detector_config": {
#         "pixel1": 7.5e-05,
#         "pixel2": 7.5e-05,
#         "orientation": 3
#     },
#     "dist": 0.7729163652097074,
#     "poni1": 0.15023228379054998,
#     "poni2": 0.13162955346626973,
#     "rot1": -0.03463361979894058,
#     "rot2": -0.0014763885094713292,
#     "rot3": -7.645244767931508e-10,
#     "wavelength": 1.82e-11
# }
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> integrated_CeO2.dat
#       2th_deg             I 
  4.153180e+00    1.389075e+01
  4.168465e+00    1.382282e+01
  4.183750e+00    1.376164e+01
  4.199035e+00    1.369480e+01
  4.214320e+00    1.368502e+01
  4.229605e+00    1.361572e+01
  4.244890e+00    1.357268e+01
  4.260175e+00    1.353526e+01
  4.275460e+00    1.350368e+01
  4.290745e+00    1.347976e+01
  4.306030e+00    1.347323e+01
  4.321316e+00    1.345069e+01
  4.336601e+00    1.337948e+01
  4.351886e+00    1.337092e+01
  4.367171e+00    1.336696e+01
  4.382456e+00    1.333539e+01
  4.397741e+00    1.325474e+01
  4.413026e+00    1.327262e+01
  4.428311e+00    1.321176e+01
  4.443596e+00    1.320412e+01
  4.458881e+00    1.316645e+01
  4.474166e+00    1.313134e+01
  4.489451e+00    1.310464e+01
  4.504736e+00    1.310664e+01
  4.520021e+00    1.309029e+01
  4.535306e+00    1.303175e+01
  4.550591e+00    1.300769e+01
  4.565876e+00    1.301209e+01
  4.581161e+00    1.300151e+01
  4.596446e+00    1.295686e+01
  4.611732e+00    1.290427e+01
  4.627017e+00    1.288362e+01
  4.642302e+00    1.287402e+01
  4.657587e+00    1.287135e+01
  4.672872e+00    1.284769e+01
  4.688157e+00    1.282510e+01
  4.703442e+00    1.284770e+01
  4.718727e+00    1.282245e+01
  4.734012e+00    1.282458e+01
  4.749297e+00    1.284244e+01
  4.764582e+00    1.286363e+01
  4.779867e+00    1.281451e+01
  4.795152e+00    1.281916e+01
  4.810437e+00    1.284248e+01
  4.825722e+00    1.283932e+01
  4.841007e+00    1.282081e+01
  4.856292e+00    1.282589e+01
  4.871577e+00    1.281650e+01
  4.886862e+00    1.279571e+01
  4.902147e+00    1.283302e+01
  4.917433e+00    1.282401e+01
  4.932718e+00    1.283299e+01
  4.948003e+00    1.281859e+01
  4.963288e+00    1.282224e+01
  4.978573e+00    1.285936e+01
  4.993858e+00    1.288714e+01
  5.009143e+00    1.286254e+01
  5.024428e+00    1.292924e+01
  5.039713e+00    1.295390e+01
  5.054998e+00    1.294844e+01
  5.070283e+00    1.299814e+01
  5.085568e+00    1.305426e+01
  5.100853e+00    1.307207e+01
  5.116138e+00    1.311558e+01
  5.131423e+00    1.314096e+01
  5.146708e+00    1.323914e+01
  5.161993e+00    1.330614e+01
  5.177278e+00    1.336877e+01
  5.192563e+00    1.346872e+01
  5.207848e+00    1.357510e+01
  5.223134e+00    1.369823e+01
